 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15:28:29
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       22  0.1000000E+01  0.19550E+00    2       44    -4    -5     T
       26  0.2000000E+01  0.25000E+00    2       55    -4    -5     T
       28  0.3000000E+01  0.50000E+00    7       68    -4    -5     T
       39  0.4000000E+01  0.19660E+00    2      120     4    -5     T
       42  0.5000000E+01  0.37500E+00    2      126     4    -5     T
       45  0.6000000E+01  0.33333E+00    2      132     4    -5     T
       47  0.7000000E+01  0.50000E+00    2      136     4    -5     T
       49  0.8000000E+01  0.50000E+00    2      140     4    -5     T
       51  0.9000000E+01  0.50000E+00    2      144     4    -5     T
       53  0.1000000E+02  0.50000E+00    2      148     4    -5     T
       55  0.1100000E+02  0.50000E+00    2      152     4    -5     T
       57  0.1200000E+02  0.50000E+00    2      156     4    -5     T
       59  0.1300000E+02  0.50000E+00    2      160     4    -5     T
       61  0.1400000E+02  0.50000E+00    2      164     4    -5     T
       63  0.1500000E+02  0.50000E+00    2      168     4    -5     T
       65  0.1600000E+02  0.50000E+00    2      172     4    -5     T
       67  0.1700000E+02  0.50000E+00    2      176     4    -5     T
       69  0.1800000E+02  0.50000E+00    2      180     4    -5     T
       71  0.1900000E+02  0.50000E+00    2      184     4    -5     T
       73  0.2000000E+02  0.50000E+00    2      188     4    -5     T
       75  0.2100000E+02  0.50000E+00    2      192     4    -5     T
       77  0.2200000E+02  0.50000E+00    2      196     4    -5     T
       79  0.2300000E+02  0.50000E+00    2      200     4    -5     T
       81  0.2400000E+02  0.50000E+00    2      204     4    -5     T
       83  0.2500000E+02  0.50000E+00    2      208     4    -5     T
       85  0.2600000E+02  0.50000E+00    2      212     4    -5     T
       87  0.2700000E+02  0.50000E+00    2      216     4    -5     T
       89  0.2800000E+02  0.50000E+00    2      220     4    -5     T
       91  0.2900000E+02  0.50000E+00    2      224     4    -5     T
       93  0.3000000E+02  0.50000E+00    2      228     4    -5     T
       95  0.3100000E+02  0.50000E+00    2      232     4    -5     T
       97  0.3200000E+02  0.50000E+00    2      236     4    -5     T
       99  0.3300000E+02  0.50000E+00    2      240     4    -5     T
      101  0.3400000E+02  0.50000E+00    2      244     4    -5     T
      103  0.3500000E+02  0.50000E+00    2      248     4    -5     T
      105  0.3600000E+02  0.50000E+00    2      252     4    -5     T
      107  0.3700000E+02  0.50000E+00    2      256     4    -5     T
      109  0.3800000E+02  0.50000E+00    2      260     4    -5     T
      111  0.3900000E+02  0.50000E+00    2      264     4    -5     T
      113  0.4000000E+02  0.50000E+00    2      268     4    -5     T
      115  0.4100000E+02  0.50000E+00    2      272     4    -5     T
      117  0.4200000E+02  0.50000E+00    2      276     4    -5     T
      119  0.4300000E+02  0.50000E+00    2      280     4    -5     T
      121  0.4400000E+02  0.50000E+00    2      284     4    -5     T
      123  0.4500000E+02  0.50000E+00    2      288     4    -5     T
      125  0.4600000E+02  0.50000E+00    2      292     4    -5     T
      127  0.4700000E+02  0.50000E+00    2      296     4    -5     T
      129  0.4800000E+02  0.50000E+00    2      300     4    -5     T
      131  0.4900000E+02  0.50000E+00    2      304     4    -5     T
      133  0.5000000E+02  0.50000E+00    2      308     4    -5     T
      135  0.5100000E+02  0.50000E+00    2      312     4    -5     T
      137  0.5200000E+02  0.50000E+00    2      316     4    -5     T
      139  0.5300000E+02  0.50000E+00    2      320     4    -5     T
      141  0.5400000E+02  0.50000E+00    2      324     4    -5     T
      143  0.5500000E+02  0.50000E+00    2      328     4    -5     T
      145  0.5600000E+02  0.50000E+00    2      332     4    -5     T
      147  0.5700000E+02  0.50000E+00    2      336     4    -5     T
      149  0.5800000E+02  0.50000E+00    2      340     4    -5     T
      151  0.5900000E+02  0.50000E+00    2      344     4    -5     T
      153  0.6000000E+02  0.50000E+00    2      348     4    -5     T
      155  0.6100000E+02  0.50000E+00    2      352     4    -5     T
      157  0.6200000E+02  0.50000E+00    2      356     4    -5     T
      159  0.6300000E+02  0.50000E+00    2      360     4    -5     T
      161  0.6400000E+02  0.50000E+00    2      364     4    -5     T
      163  0.6500000E+02  0.50000E+00    2      368     4    -5     T
      165  0.6600000E+02  0.50000E+00    2      372     4    -5     T
      167  0.6700000E+02  0.50000E+00    2      376     4    -5     T
      169  0.6800000E+02  0.50000E+00    2      380     4    -5     T
      171  0.6900000E+02  0.50000E+00    2      384     4    -5     T
      173  0.7000000E+02  0.50000E+00    2      388     4    -5     T
      175  0.7100000E+02  0.50000E+00    2      392     4    -5     T
      177  0.7200000E+02  0.50000E+00    2      396     4    -5     T
      179  0.7300000E+02  0.50000E+00    2      400     4    -5     T
      181  0.7400000E+02  0.50000E+00    2      404     4    -5     T
      183  0.7500000E+02  0.50000E+00    2      408     4    -5     T
      185  0.7600000E+02  0.50000E+00    2      412     4    -5     T
      187  0.7700000E+02  0.50000E+00    2      416     4    -5     T
      189  0.7800000E+02  0.50000E+00    2      420     4    -5     T
      191  0.7900000E+02  0.50000E+00    2      424     4    -5     T
      193  0.8000000E+02  0.50000E+00    2      428     4    -5     T
      195  0.8100000E+02  0.50000E+00    2      432     4    -5     T
      197  0.8200000E+02  0.50000E+00    2      436     4    -5     T
      199  0.8300000E+02  0.50000E+00    2      440     4    -5     T
      201  0.8400000E+02  0.50000E+00    2      444     4    -5     T
      203  0.8500000E+02  0.50000E+00    2      448     4    -5     T
      205  0.8600000E+02  0.50000E+00    2      452     4    -5     T
      207  0.8700000E+02  0.50000E+00    2      456     4    -5     T
      209  0.8800000E+02  0.50000E+00    2      460     4    -5     T
      211  0.8900000E+02  0.50000E+00    2      464     4    -5     T
      213  0.9000000E+02  0.50000E+00    2      468     4    -5     T
      215  0.9100000E+02  0.50000E+00    5      475    -4    -5     T
      217  0.9200000E+02  0.50000E+00    2      481    -4    -5     T
      219  0.9300000E+02  0.50000E+00    4      489    -4    -5     T
      221  0.9400000E+02  0.50000E+00    4      495    -4    -5     T
      223  0.9500000E+02  0.50000E+00    4      501    -4    -5     T
      225  0.9600000E+02  0.50000E+00    5      509    -4    -5     T
      227  0.9700000E+02  0.50000E+00    5      518    -4    -5     T
      229  0.9800000E+02  0.50000E+00    4      526    -4    -5     T
      231  0.9900000E+02  0.50000E+00    5      535    -4    -5     T
      233  0.1000000E+03  0.50000E+00    5      543    -4    -5     T
      235  0.1010000E+03  0.50000E+00    3      550    -4    -5     T
      237  0.1020000E+03  0.50000E+00    4      557    -4    -5     T
      239  0.1030000E+03  0.50000E+00    2      561    -4    -5     T
      241  0.1040000E+03  0.50000E+00    3      566    -4    -5     T
      243  0.1050000E+03  0.50000E+00    3      571    -4    -5     T
      245  0.1060000E+03  0.50000E+00    3      577    -4    -5     T
      247  0.1070000E+03  0.50000E+00    2      581    -4    -5     T
      249  0.1080000E+03  0.50000E+00    4      587    -4    -5     T
      251  0.1090000E+03  0.50000E+00    2      591    -4    -5     T
      253  0.1100000E+03  0.50000E+00    2      595    -4    -5     T
      255  0.1110000E+03  0.50000E+00    2      599    -4    -5     T
      257  0.1120000E+03  0.50000E+00    3      604    -4    -5     T
      259  0.1130000E+03  0.50000E+00    2      608    -4    -5     T
      261  0.1140000E+03  0.50000E+00    2      612    -4    -5     T
      263  0.1150000E+03  0.50000E+00    2      616    -4    -5     T
      265  0.1160000E+03  0.50000E+00    2      620    -4    -5     T
      267  0.1170000E+03  0.50000E+00    2      624    -4    -5     T
      269  0.1180000E+03  0.50000E+00    3      629    -4    -5     T
