 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:   5. 1.    Time:  13: 5: 5
 Units: L = mm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        3  0.1000000E+01  0.30000E+00    2       12    -4    -5     T
        5  0.2000000E+01  0.50000E+00    2       16    -4    -5     T
        7  0.3000000E+01  0.50000E+00    2       20    -4    -5     T
        9  0.4000000E+01  0.50000E+00    2       24    -4    -5     T
       11  0.5000000E+01  0.50000E+00    2       28    -4    -5     T
       13  0.6000000E+01  0.50000E+00    2       32    -4    -5     T
       15  0.7000000E+01  0.50000E+00    2       37    -4    -5     T
       17  0.8000000E+01  0.50000E+00    2       42    -4    -5     T
       19  0.9000000E+01  0.50000E+00    2       46    -4    -5     T
       21  0.1000000E+02  0.50000E+00    2       51    -4    -5     T
       23  0.1100000E+02  0.50000E+00    2       55    -4    -5     T
       25  0.1200000E+02  0.50000E+00    3       61    -4    -5     T
       27  0.1300000E+02  0.50000E+00    2       66    -4    -5     T
       29  0.1400000E+02  0.50000E+00    3       72    -4    -5     T
       31  0.1500000E+02  0.50000E+00    3       79    -4    -5     T
       33  0.1600000E+02  0.50000E+00    2       83    -4    -5     T
       35  0.1700000E+02  0.50000E+00    2       87    -4    -5     T
       37  0.1800000E+02  0.50000E+00    3       93    -4    -5     T
       39  0.1900000E+02  0.50000E+00    2       98    -4    -5     T
       41  0.2000000E+02  0.50000E+00    2      103    -4    -5     T
       43  0.2100000E+02  0.50000E+00    2      109    -4    -5     T
       45  0.2200000E+02  0.50000E+00    3      116    -4    -5     T
       47  0.2300000E+02  0.50000E+00    2      121    -4    -5     T
       49  0.2400000E+02  0.50000E+00    2      125    -4    -5     T
       51  0.2500000E+02  0.50000E+00    2      130    -4    -5     T
       53  0.2600000E+02  0.50000E+00    3      137    -4    -5     T
       55  0.2700000E+02  0.50000E+00    3      144    -4    -5     T
       57  0.2800000E+02  0.50000E+00    2      148    -4    -5     T
       59  0.2900000E+02  0.50000E+00    2      152    -4    -5     T
       61  0.3000000E+02  0.50000E+00    2      157    -4    -5     T
       63  0.3100000E+02  0.50000E+00    3      163    -4    -5     T
       65  0.3200000E+02  0.50000E+00    2      167    -4    -5     T
       67  0.3300000E+02  0.50000E+00    2      173    -4    -5     T
       69  0.3400000E+02  0.50000E+00    7      187    -4    -5     T
       73  0.3500000E+02  0.25000E+00    4      202    -4    -5     T
       80  0.3600000E+02  0.37037E-01    3      246     4    -5     T
       87  0.3700000E+02  0.19974E+00    2      261     4    -5     T
       90  0.3800000E+02  0.33333E+00    3      268     4    -5     T
       94  0.3900000E+02  0.16667E+00    2      287     4    -5     T
      102  0.4000000E+02  0.83550E-01    2      323     4    -5     T
      109  0.4100000E+02  0.19048E+00    2      347     4    -5     T
      120  0.4200000E+02  0.10289E+00    2      399     4    -5     T
      128  0.4300000E+02  0.18277E+00    2      425     4    -5     T
      131  0.4400000E+02  0.50000E+00    2      431     4    -5     T
      133  0.4500000E+02  0.50000E+00    2      435    -4    -5     T
      141  0.4600000E+02  0.22685E+00    2      473     4    -5     T
      144  0.4700000E+02  0.37500E+00    2      479     4    -5     T
      146  0.4800000E+02  0.50000E+00    2      483     4    -5     T
      148  0.4900000E+02  0.50000E+00    2      487     4    -5     T
      150  0.5000000E+02  0.50000E+00    2      491     4    -5     T
      152  0.5100000E+02  0.50000E+00    2      495     4    -5     T
      154  0.5200000E+02  0.50000E+00    4      502     4    -5     T
      156  0.5300000E+02  0.50000E+00    9      518    -4    -5     T
      159  0.5400000E+02  0.37500E+00    4      530    -4    -5     T
      162  0.5500000E+02  0.33333E+00    2      539    -4    -5     T
      171  0.5600000E+02  0.18056E+00    2      588     4    -5     T
      175  0.5700000E+02  0.26667E+00    2      598     4    -5     T
      178  0.5800000E+02  0.33333E+00    5      612     4    -5     T
      181  0.5900000E+02  0.33333E+00    4      623     4    -5     T
      183  0.6000000E+02  0.50000E+00    2      627     4    -5     T
      185  0.6100000E+02  0.50000E+00    2      631     4    -5     T
      187  0.6200000E+02  0.50000E+00    2      635     4    -5     T
      189  0.6300000E+02  0.50000E+00    2      639     4    -5     T
      191  0.6400000E+02  0.50000E+00    3      645    -4    -5     T
      195  0.6500000E+02  0.16667E+00    2      666     4    -5     T
      198  0.6600000E+02  0.37500E+00    2      672     4    -5     T
      200  0.6700000E+02  0.50000E+00    2      676     4    -5     T
      202  0.6800000E+02  0.50000E+00    2      680     4    -5     T
      204  0.6900000E+02  0.50000E+00    9      693    -4    -5     T
      209  0.7000000E+02  0.11111E+00    2      716     4    -5     T
      213  0.7100000E+02  0.26667E+00    2      724     4    -5     T
      215  0.7200000E+02  0.50000E+00    2      728     4    -5     T
      217  0.7300000E+02  0.50000E+00    2      732     4    -5     T
      219  0.7400000E+02  0.50000E+00    2      736     4    -5     T
      221  0.7500000E+02  0.50000E+00    2      740     4    -5     T
      223  0.7600000E+02  0.50000E+00    2      744     4    -5     T
      225  0.7700000E+02  0.50000E+00    2      748     4    -5     T
      227  0.7800000E+02  0.50000E+00    2      752     4    -5     T
      229  0.7900000E+02  0.50000E+00    2      756     4    -5     T
      231  0.8000000E+02  0.50000E+00    2      760     4    -5     T
      233  0.8100000E+02  0.50000E+00    2      764     4    -5     T
      235  0.8200000E+02  0.50000E+00    2      768     4    -5     T
      237  0.8300000E+02  0.50000E+00    2      772     4    -5     T
      239  0.8400000E+02  0.50000E+00    2      776     4    -5     T
      241  0.8500000E+02  0.50000E+00    2      780     4    -5     T
      243  0.8600000E+02  0.50000E+00    2      784     4    -5     T
      245  0.8700000E+02  0.50000E+00    3      791     4    -5     T
      247  0.8800000E+02  0.50000E+00    2      796     4    -5     T
      249  0.8900000E+02  0.50000E+00    2      801     4    -5     T
      251  0.9000000E+02  0.50000E+00    3      806     4    -5     T
      253  0.9100000E+02  0.50000E+00    8      820    -4    -5     T
      256  0.9200000E+02  0.44444E+00    3      834    -4    -5     T
      258  0.9300000E+02  0.50000E+00    3      840    -4    -5     T
      260  0.9400000E+02  0.50000E+00    3      846    -4    -5     T
      262  0.9500000E+02  0.50000E+00    3      851    -4    -5     T
      264  0.9600000E+02  0.50000E+00    3      856    -4    -5     T
